site_id,horizon,incubation_treatment,temp_treatment_degC_above_MST,moisture_treatment_kPa,MST_degC,incubation_temp_degC,fraction,horizon_type,sample_name,oven_dry_mass_g,t13_cumul_resp_ugC_per_gsoil,t13_cumul_spec_resp_ugC_per_gC,t26_cumul_resp_ugC_per_gsoil,t26_cumul_spec_resp_ugC_per_gC,t52_cumul_resp_ugC_per_gsoil,t52_cumul_spec_resp_ugC_per_gC,notes
JORN,Bk1,0MST150,0,-150,25.5,25,BULK,Upper B-Horizon,JORN_Bk1_0MST150_0_-150_25.5_25_BULK_Upper B-Horizon,19.89,64,26698,117,48741,180,75068,NA
JORN,Bk1,0MST33,0,-33,25.5,25,BULK,Upper B-Horizon,JORN_Bk1_0MST33_0_-33_25.5_25_BULK_Upper B-Horizon,19.85,75,31220,113,47220,133,55184,NA
JORN,Bk1,5MST400,5,-400,25.5,25,BULK,Upper B-Horizon,JORN_Bk1_5MST400_5_-400_25.5_25_BULK_Upper B-Horizon,19.91,61,25549,105,43793,154,64333,NA
JORN,Bk1,5MST150,5,-150,25.5,25,BULK,Upper B-Horizon,JORN_Bk1_5MST150_5_-150_25.5_25_BULK_Upper B-Horizon,19.9,65,27011,112,46530,147,61243,NA
JORN,Bk1,5MST33,5,-33,25.5,25,BULK,Upper B-Horizon,JORN_Bk1_5MST33_5_-33_25.5_25_BULK_Upper B-Horizon,19.87,84,35019,133,55291,165,68546,NA
KONA,Ap,0MST400,0,-400,25,25,BULK,A-Horizon,KONA_Ap_0MST400_0_-400_25_25_BULK_A-Horizon,19.32,331,20673,453,28339,622,38862,NA
KONA,Ap,0MST150,0,-150,25,25,BULK,A-Horizon,KONA_Ap_0MST150_0_-150_25_25_BULK_A-Horizon,19.29,NA,NA,NA,NA,NA,NA,"Issue with jar not being sealed during sampling period 07; consequently, data for t = 13, 26, and 52 weeks potentially not valid"
KONA,Ap,0MST33,0,-33,25,25,BULK,A-Horizon,KONA_Ap_0MST33_0_-33_25_25_BULK_A-Horizon,19.31,394,24656,542,33862,763,47689,NA
KONA,Ap,5MST400,5,-400,25,25,BULK,A-Horizon,KONA_Ap_5MST400_5_-400_25_25_BULK_A-Horizon,19.29,404,25240,561,35041,792,49491,NA
KONA,Ap,5MST150,5,-150,25,25,BULK,A-Horizon,KONA_Ap_5MST150_5_-150_25_25_BULK_A-Horizon,19.32,427,26663,610,38138,845,52798,NA
KONA,Ap,5MST33,5,-33,25,25,BULK,A-Horizon,KONA_Ap_5MST33_5_-33_25_25_BULK_A-Horizon,19.34,506,31610,713,44583,920,57522,NA
KONA,Bt1,0MST400,0,-400,25,25,BULK,Upper B-Horizon,KONA_Bt1_0MST400_0_-400_25_25_BULK_Upper B-Horizon,19.11,150,15579,187,19414,217,22507,NA
KONA,Bt1,0MST150,0,-150,25,25,BULK,Upper B-Horizon,KONA_Bt1_0MST150_0_-150_25_25_BULK_Upper B-Horizon,19.09,160,16601,201,20913,243,25265,NA
KONA,Bt1,0MST33,0,-33,25,25,BULK,Upper B-Horizon,KONA_Bt1_0MST33_0_-33_25_25_BULK_Upper B-Horizon,19.1,174,18090,222,23119,260,27003,NA
KONA,Bt1,5MST400,5,-400,25,25,BULK,Upper B-Horizon,KONA_Bt1_5MST400_5_-400_25_25_BULK_Upper B-Horizon,19.11,166,17235,221,22979,261,27099,NA
KONA,Bt1,5MST150,5,-150,25,25,BULK,Upper B-Horizon,KONA_Bt1_5MST150_5_-150_25_25_BULK_Upper B-Horizon,19.11,191,19862,243,25244,287,29820,NA
KONA,Bt1,5MST33,5,-33,25,25,BULK,Upper B-Horizon,KONA_Bt1_5MST33_5_-33_25_25_BULK_Upper B-Horizon,19.06,202,20958,259,26885,327,34028,NA
KONZ,A1,0MST400,0,-400,24.4,25,BULK,A-Horizon,KONZ_A1_0MST400_0_-400_24.4_25_BULK_A-Horizon,19.4,734,34547,1006,47338,1337,62919,NA
KONZ,A1,0MST150,0,-150,24.4,25,BULK,A-Horizon,KONZ_A1_0MST150_0_-150_24.4_25_BULK_A-Horizon,19.38,886,41664,1225,57611,1625,76455,NA
KONZ,A1,0MST33,0,-33,24.4,25,BULK,A-Horizon,KONZ_A1_0MST33_0_-33_24.4_25_BULK_A-Horizon,19.44,1016,47788,1377,64800,1800,84669,NA
KONZ,A1,5MST400,5,-400,24.4,25,BULK,A-Horizon,KONZ_A1_5MST400_5_-400_24.4_25_BULK_A-Horizon,19.38,880,41395,1124,52862,1490,70089,NA
KONZ,A1,5MST150,5,-150,24.4,25,BULK,A-Horizon,KONZ_A1_5MST150_5_-150_24.4_25_BULK_A-Horizon,19.39,1080,50821,1441,67774,1930,90772,NA
KONZ,A1,5MST33,5,-33,24.4,25,BULK,A-Horizon,KONZ_A1_5MST33_5_-33_24.4_25_BULK_A-Horizon,19.4,1261,59298,1686,79303,2317,108998,NA
KONZ,Bt1,0MST400,0,-400,24.4,25,BULK,Upper B-Horizon,KONZ_Bt1_0MST400_0_-400_24.4_25_BULK_Upper B-Horizon,18.2,256,61026,340,80956,442,105259,NA
KONZ,Bt1,0MST150,0,-150,24.4,25,BULK,Upper B-Horizon,KONZ_Bt1_0MST150_0_-150_24.4_25_BULK_Upper B-Horizon,18.2,NA,NA,NA,NA,NA,NA,Likely failure of jar lid seal
KONZ,Bt1,0MST33,0,-33,24.4,25,BULK,Upper B-Horizon,KONZ_Bt1_0MST33_0_-33_24.4_25_BULK_Upper B-Horizon,18.21,360,85778,506,120524,683,162616,NA
KONZ,Bt1,5MST400,5,-400,24.4,25,BULK,Upper B-Horizon,KONZ_Bt1_5MST400_5_-400_24.4_25_BULK_Upper B-Horizon,18.19,316,75117,452,107551,652,155216,NA
KONZ,Bt1,5MST150,5,-150,24.4,25,BULK,Upper B-Horizon,KONZ_Bt1_5MST150_5_-150_24.4_25_BULK_Upper B-Horizon,18.2,363,86378,523,124463,736,175230,NA
KONZ,Bt1,5MST33,5,-33,24.4,25,BULK,Upper B-Horizon,KONZ_Bt1_5MST33_5_-33_24.4_25_BULK_Upper B-Horizon,18.16,465,110599,658,156521,900,214261,NA
MLBS,A,0MST400,0,-400,18.4,17.5,BULK,A-Horizon,MLBS_A_0MST400_0_-400_18.4_17.5_BULK_A-Horizon,19.26,1526,14932,2111,20654,2867,28050,NA
MLBS,A,0MST150,0,-150,18.4,17.5,BULK,A-Horizon,MLBS_A_0MST150_0_-150_18.4_17.5_BULK_A-Horizon,19.26,1805,17661,2448,23951,3567,34905,NA
MLBS,A,0MST33,0,-33,18.4,17.5,BULK,A-Horizon,MLBS_A_0MST33_0_-33_18.4_17.5_BULK_A-Horizon,19.28,2254,22052,3099,30320,5479,53616,NA
MLBS,A,5MST400,5,-400,18.4,17.5,BULK,A-Horizon,MLBS_A_5MST400_5_-400_18.4_17.5_BULK_A-Horizon,19.26,2040,19958,2881,28194,4036,39491,NA
MLBS,A,5MST150,5,-150,18.4,17.5,BULK,A-Horizon,MLBS_A_5MST150_5_-150_18.4_17.5_BULK_A-Horizon,19.27,2560,25049,3524,34487,5472,53549,NA
MLBS,A,5MST33,5,-33,18.4,17.5,BULK,A-Horizon,MLBS_A_5MST33_5_-33_18.4_17.5_BULK_A-Horizon,19.22,3531,34557,4903,47976,NA,NA,"Sample disturbed after taking headspace sample MLa61_31; consequently, data for t = 52 weeks potentially not valid"
MLBS,Bw1,0MST400,0,-400,18.4,17.5,BULK,Upper B-Horizon,MLBS_Bw1_0MST400_0_-400_18.4_17.5_BULK_Upper B-Horizon,19.38,116,10490,181,16397,289,26203,NA
MLBS,Bw1,0MST150,0,-150,18.4,17.5,BULK,Upper B-Horizon,MLBS_Bw1_0MST150_0_-150_18.4_17.5_BULK_Upper B-Horizon,19.38,132,12033,206,18726,306,27754,NA
MLBS,Bw1,0MST33,0,-33,18.4,17.5,BULK,Upper B-Horizon,MLBS_Bw1_0MST33_0_-33_18.4_17.5_BULK_Upper B-Horizon,19.35,131,11855,185,16825,248,22479,NA
MLBS,Bw1,5MST400,5,-400,18.4,17.5,BULK,Upper B-Horizon,MLBS_Bw1_5MST400_5_-400_18.4_17.5_BULK_Upper B-Horizon,19.38,149,13536,233,21175,390,35458,NA
MLBS,Bw1,5MST150,5,-150,18.4,17.5,BULK,Upper B-Horizon,MLBS_Bw1_5MST150_5_-150_18.4_17.5_BULK_Upper B-Horizon,19.34,154,13991,248,22557,409,37172,NA
MLBS,Bw1,5MST33,5,-33,18.4,17.5,BULK,Upper B-Horizon,MLBS_Bw1_5MST33_5_-33_18.4_17.5_BULK_Upper B-Horizon,19.37,158,14385,247,22429,380,34473,NA
